epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3477,1.44362,3.89857,2.24697,0.00343,1,0.50602,0.28442,0.82791,3.5864,1.84355,0.00010002,0.00010002,0.00010002
2,99.0207,0.78058,3.02417,1.63681,0.00344,1,0.5871,0.36272,0.74506,3.4859,1.53867,0.000195256,0.000195256,0.000195256
3,147.34,0.50163,2.33117,1.26383,0.00334,1,0.70744,0.62098,0.49638,3.30231,0.97345,0.000267387,0.000267387,0.000267387
4,195.629,0.43318,1.93758,1.11178,0.00333,1,0.79531,0.71245,0.43429,3.32172,0.91119,0.000316413,0.000316413,0.000316413
5,243.644,0.38479,1.85464,1.14519,0.00335,1,0.83502,0.71668,0.43159,3.30495,0.85268,0.000342335,0.000342335,0.000342335
6,291.875,0.35365,1.63258,1.09249,0.00334,1,0.84508,0.75048,0.48071,3.20226,0.87991,0.000345152,0.000345152,0.000345152
7,340.437,0.40251,1.56317,1.15717,0.88924,0.66942,0.90313,0.82381,0.37351,2.89194,0.72784,0.000324865,0.000324865,0.000324865
8,388.983,0.34889,1.50345,1.08106,0.83613,0.78916,0.91387,0.85965,0.3162,2.78753,0.59984,0.000281473,0.000281473,0.000281473
9,437.583,0.35858,1.42297,1.07812,0.79974,0.8155,0.91216,0.89984,0.26328,2.63104,0.49831,0.000214976,0.000214976,0.000214976
10,486.629,0.30171,1.44638,1.04866,0.78104,0.84314,0.93349,0.90529,0.2641,2.48727,0.50068,0.000125375,0.000125375,0.000125375
